"image","n","p","frobenius","k","error","rel","cumvar","k95","k99","k999"
"image2",1000,100,37538.7903476,15,2.09338932834853e-09,5.57660305237399e-14,1,1,1,1
"image2",1000,100,37538.7903476,16,2.08679283588048e-09,5.5590305829178e-14,1,1,1,1
"image2",1000,100,37538.7903476,17,2.07610445632721e-09,5.5305576900667e-14,1,1,1,1
"image2",1000,100,37538.7903476,18,2.07494290216832e-09,5.52746341305848e-14,1,1,1,1
"image2",1000,100,37538.7903476,19,2.07357033344174e-09,5.52380701200275e-14,1,1,1,1
"image2",1000,100,37538.7903476,20,2.06710640207624e-09,5.50658767353808e-14,1,1,1,1
"image2",1000,100,37538.7903476,21,2.06696079341821e-09,5.5061997850188e-14,1,1,1,1
"image2",1000,100,37538.7903476,22,2.06680052587586e-09,5.505772846535e-14,1,1,1,1
"image2",1000,100,37538.7903476,23,2.06415209577959e-09,5.49871766422424e-14,1,1,1,1
"image2",1000,100,37538.7903476,24,2.0637403216808e-09,5.49762073463495e-14,1,1,1,1
"image2",1000,100,37538.7903476,25,2.06354716165614e-09,5.49710617350265e-14,1,1,1,1
"image2",1000,100,37538.7903476,26,2.06330260989643e-09,5.49645470935733e-14,1,1,1,1
"image2",1000,100,37538.7903476,27,2.06237878493475e-09,5.4939937217945e-14,1,1,1,1
"image2",1000,100,37538.7903476,28,2.0550547644732e-09,5.47448318244647e-14,1,1,1,1
"image2",1000,100,37538.7903476,29,2.05300032315674e-09,5.469010333435e-14,1,1,1,1
"image2",1000,100,37538.7903476,30,2.04839463884797e-09,5.45674119991703e-14,1,1,1,1
"image2",1000,100,37538.7903476,31,2.0479134529897e-09,5.45545936357171e-14,1,1,1,1
"image2",1000,100,37538.7903476,32,2.04387682994783e-09,5.44470615867488e-14,1,1,1,1
"image2",1000,100,37538.7903476,33,2.04063623389988e-09,5.43607349891694e-14,1,1,1,1
"image2",1000,100,37538.7903476,34,2.03238894237433e-09,5.41410344754028e-14,1,1,1,1
"image2",1000,100,37538.7903476,35,2.03234901665954e-09,5.41399708898577e-14,1,1,1,1
"image2",1000,100,37538.7903476,36,2.02986111400159e-09,5.40736953749861e-14,1,1,1,1
"image2",1000,100,37538.7903476,37,2.02753219201467e-09,5.40116549638445e-14,1,1,1,1
"image2",1000,100,37538.7903476,38,2.02742973001912e-09,5.40089254673798e-14,1,1,1,1
"image2",1000,100,37538.7903476,39,2.00484641537941e-09,5.34073260436743e-14,1,1,1,1
"image2",1000,100,37538.7903476,40,2.00381431123355e-09,5.33798317068482e-14,1,1,1,1
"image2",1000,100,37538.7903476,41,2.00160988639801e-09,5.3321107789132e-14,1,1,1,1
"image2",1000,100,37538.7903476,42,1.96950657177001e-09,5.24659040297479e-14,1,1,1,1
"image2",1000,100,37538.7903476,43,1.96813656932974e-09,5.24294083827763e-14,1,1,1,1
"image2",1000,100,37538.7903476,44,1.95641013903039e-09,5.21170267052965e-14,1,1,1,1
"image2",1000,100,37538.7903476,45,1.95400508917375e-09,5.2052958315389e-14,1,1,1,1
"image2",1000,100,37538.7903476,46,1.93300140760047e-09,5.14934389121587e-14,1,1,1,1
"image2",1000,100,37538.7903476,47,1.9192566007181e-09,5.11272894769984e-14,1,1,1,1
"image2",1000,100,37538.7903476,48,1.91898667427301e-09,5.11200988764866e-14,1,1,1,1
"image2",1000,100,37538.7903476,49,1.87176542112434e-09,4.9862166675917e-14,1,1,1,1
"image2",1000,100,37538.7903476,50,1.87147628141697e-09,4.985446425118e-14,1,1,1,1
"image2",1000,100,37538.7903476,51,1.86183230985014e-09,4.95975574228691e-14,1,1,1,1
"image2",1000,100,37538.7903476,52,1.86129639242831e-09,4.95832810592233e-14,1,1,1,1
"image2",1000,100,37538.7903476,53,1.37511693090366e-09,3.66318924549889e-14,1,1,1,1
"image2",1000,100,37538.7903476,54,1.37165135499204e-09,3.65395725938659e-14,1,1,1,1
"image2",1000,100,37538.7903476,55,1.37156752819277e-09,3.65373395224617e-14,1,1,1,1
"image2",1000,100,37538.7903476,56,1.34720030859062e-09,3.58882184565851e-14,1,1,1,1
"image2",1000,100,37538.7903476,57,1.34408904655361e-09,3.58053372020695e-14,1,1,1,1
"image2",1000,100,37538.7903476,58,1.3438674591133e-09,3.57994343096678e-14,1,1,1,1
"image2",1000,100,37538.7903476,59,1.29062507346271e-09,3.43811044924954e-14,1,1,1,1
"image2",1000,100,37538.7903476,60,1.29047464617974e-09,3.43770972434183e-14,1,1,1,1
"image2",1000,100,37538.7903476,61,1.28724379777945e-09,3.42910303145063e-14,1,1,1,1
"image2",1000,100,37538.7903476,62,1.28663061222995e-09,3.42746955966365e-14,1,1,1,1
"image2",1000,100,37538.7903476,63,1.28547950137251e-09,3.42440310268201e-14,1,1,1,1
"image2",1000,100,37538.7903476,64,1.26580196104668e-09,3.37198388473806e-14,1,1,1,1
"image2",1000,100,37538.7903476,65,1.24681607766418e-09,3.32140717939756e-14,1,1,1,1
"image2",1000,100,37538.7903476,66,1.24689070498848e-09,3.32160597995455e-14,1,1,1,1
"image2",1000,100,37538.7903476,67,1.24688927839544e-09,3.32160217963751e-14,1,1,1,1
"image2",1000,100,37538.7903476,68,1.24457939140666e-09,3.31544884606605e-14,1,1,1,1
"image2",1000,100,37538.7903476,69,1.23963137546396e-09,3.30226777151121e-14,1,1,1,1
"image2",1000,100,37538.7903476,70,1.19026279679256e-09,3.1707542671754e-14,1,1,1,1
"image2",1000,100,37538.7903476,71,1.12649901041719e-09,3.00089320936047e-14,1,1,1,1
"image2",1000,100,37538.7903476,72,1.10672279825028e-09,2.94821113840456e-14,1,1,1,1
"image2",1000,100,37538.7903476,73,1.10017267345317e-09,2.93076218830134e-14,1,1,1,1
"image2",1000,100,37538.7903476,74,1.08765095450457e-09,2.89740544229899e-14,1,1,1,1
"image2",1000,100,37538.7903476,75,1.08161759425306e-09,2.8813331070009e-14,1,1,1,1
"image2",1000,100,37538.7903476,76,1.06692185108558e-09,2.84218495376687e-14,1,1,1,1
"image2",1000,100,37538.7903476,77,1.02509633252353e-09,2.73076549092655e-14,1,1,1,1
"image2",1000,100,37538.7903476,78,1.02451261449041e-09,2.72921051798332e-14,1,1,1,1
"image2",1000,100,37538.7903476,79,9.12721160204478e-10,2.43140802288221e-14,1,1,1,1
"image2",1000,100,37538.7903476,80,9.12644458860963e-10,2.43120369732242e-14,1,1,1,1
"image2",1000,100,37538.7903476,81,9.0559690984428e-10,2.41242965332307e-14,1,1,1,1
"image2",1000,100,37538.7903476,82,9.053384561414e-10,2.41174115563711e-14,1,1,1,1
"image2",1000,100,37538.7903476,83,9.05138139993849e-10,2.41120753122967e-14,1,1,1,1
"image2",1000,100,37538.7903476,84,8.51570116996539e-10,2.26850708057241e-14,1,1,1,1
"image2",1000,100,37538.7903476,85,8.51543481136103e-10,2.26843612500834e-14,1,1,1,1
"image2",1000,100,37538.7903476,86,8.50138683004704e-10,2.26469386768361e-14,1,1,1,1
"image2",1000,100,37538.7903476,87,8.31854900653317e-10,2.21598749706782e-14,1,1,1,1
"image2",1000,100,37538.7903476,88,8.16805016991474e-10,2.17589594504261e-14,1,1,1,1
"image2",1000,100,37538.7903476,89,7.74186916893339e-10,2.06236511545673e-14,1,1,1,1
"image2",1000,100,37538.7903476,90,7.49043619969812e-10,1.99538560788414e-14,1,1,1,1
"image2",1000,100,37538.7903476,91,7.2060053983389e-10,1.91961577120974e-14,1,1,1,1
"image2",1000,100,37538.7903476,92,6.39948136886027e-10,1.70476494037305e-14,1,1,1,1
"image2",1000,100,37538.7903476,93,6.2640152478459e-10,1.6686779701324e-14,1,1,1,1
"image2",1000,100,37538.7903476,94,6.04013507970798e-10,1.60903828380665e-14,1,1,1,1
"image2",1000,100,37538.7903476,95,6.01293162151168e-10,1.60179152440273e-14,1,1,1,1
"image2",1000,100,37538.7903476,96,3.28453924534816e-10,8.74972052890926e-15,1,1,1,1
"image2",1000,100,37538.7903476,97,2.55099810296157e-10,6.79563214301781e-15,1,1,1,1
"image2",1000,100,37538.7903476,98,1.54453302622189e-10,4.11449866103806e-15,1,1,1,1
"image2",1000,100,37538.7903476,99,5.53161382290004e-11,1.47357274213651e-15,1,1,1,1
"image2",1000,100,37538.7903476,100,2.15686416395414e-11,5.74569437102822e-16,1,1,1,1
"image3",376,345,360.16523985526,1,222.670550754697,0.618245533200765,0.617772460677302,10,33,137
"image3",376,345,360.16523985526,2,176.022111712672,0.488725985282227,0.761146911309915,10,33,137
"image3",376,345,360.16523985526,3,150.005464516438,0.416490676825784,0.826535516117199,10,33,137
"image3",376,345,360.16523985526,4,130.586483810781,0.362573811573986,0.868540231160711,10,33,137
"image3",376,345,360.16523985526,5,119.29745317031,0.331229780026112,0.890286832823853,10,33,137
"image3",376,345,360.16523985526,6,109.320196612234,0.303527893630621,0.907870817788158,10,33,137
"image3",376,345,360.16523985526,7,99.5900591353356,0.276512134195287,0.923541039642766,10,33,137
"image3",376,345,360.16523985526,8,91.3586177035671,0.253657509370647,0.935657867939879,10,33,137
"image3",376,345,360.16523985526,9,84.5867492769219,0.234855393904517,0.944842943953953,10,33,137
"image3",376,345,360.16523985526,10,79.1307339025805,0.21970674886444,0.951728944503417,10,33,137
"image3",376,345,360.16523985526,11,74.1334962179835,0.205831901623198,0.957633228274177,10,33,137
"image3",376,345,360.16523985526,12,70.2817126218602,0.195137411511739,0.961921390628497,10,33,137
"image3",376,345,360.16523985526,13,66.404654392279,0.184372746295464,0.966006690423467,10,33,137
"image3",376,345,360.16523985526,14,63.1875979175022,0.175440578171551,0.969220603530831,10,33,137
"image3",376,345,360.16523985526,15,60.5709195020415,0.16817536174891,0.971717047700622,10,33,137
"image3",376,345,360.16523985526,16,57.9845144876296,0.160994199526117,0.974080867718944,10,33,137
"image3",376,345,360.16523985526,17,55.5084616297229,0.154119430437068,0.976247201161752,10,33,137
"image3",376,345,360.16523985526,18,53.1695018321224,0.147625300691121,0.978206770595855,10,33,137
"image3",376,345,360.16523985526,19,51.2773179548401,0.142371645790823,0.979730314474811,10,33,137
"image3",376,345,360.16523985526,20,49.5573052014188,0.137596024595084,0.981067334015628,10,33,137
"image3",376,345,360.16523985526,21,47.9851507152215,0.133230932375665,0.98224951865831,10,33,137
"image3",376,345,360.16523985526,22,46.409534815808,0.128856229530808,0.983396072111102,10,33,137
"image3",376,345,360.16523985526,23,45.1166616594764,0.125266562863222,0.984308288228433,10,33,137
"image3",376,345,360.16523985526,24,43.8764527942576,0.121823118777065,0.985159127731428,10,33,137
"image3",376,345,360.16523985526,25,42.7969674223638,0.118825924010775,0.985880399782984,10,33,137
"image3",376,345,360.16523985526,26,41.7561423084183,0.115936069580726,0.986558827770172,10,33,137
"image3",376,345,360.16523985526,27,40.8391406545838,0.113390011404198,0.987142705313754,10,33,137
"image3",376,345,360.16523985526,28,39.9500488182084,0.11092144492973,0.9876964330547,10,33,137
"image3",376,345,360.16523985526,29,39.0549482534285,0.108436195200635,0.988241591570408,10,33,137
"image3",376,345,360.16523985526,30,38.162651556447,0.105958730419913,0.988772747447799,10,33,137
"image3",376,345,360.16523985526,31,37.3603636155145,0.103731175253138,0.989239843280602,10,33,137
"image3",376,345,360.16523985526,32,36.5698380684829,0.101536278412595,0.989690384166119,10,33,137
"image3",376,345,360.16523985526,33,35.8225470214829,0.0994614223068247,0.990107425472702,10,33,137
"image3",376,345,360.16523985526,34,35.1666439435174,0.0976403052044938,0.990466370799572,10,33,137
"image3",376,345,360.16523985526,35,34.530640901213,0.0958744406181169,0.990808091636162,10,33,137
"image3",376,345,360.16523985526,36,33.906446220751,0.094141361988117,0.991137403963021,10,33,137
"image3",376,345,360.16523985526,37,33.2993499654525,0.0924557571930998,0.991451932961849,10,33,137
"image3",376,345,360.16523985526,38,32.7498689790399,0.0909301213859536,0.991731713024735,10,33,137
"image3",376,345,360.16523985526,39,32.2205544154191,0.0894604777195254,0.991996822926193,10,33,137
"image3",376,345,360.16523985526,40,31.6985304288205,0.0880110763647241,0.992254050437121,10,33,137
"image3",376,345,360.16523985526,41,31.1999183779716,0.0866266783282861,0.992495818601806,10,33,137
"image3",376,345,360.16523985526,42,30.7294116293242,0.0853203147579524,0.992720443889603,10,33,137
"image3",376,345,360.16523985526,43,30.2799950992288,0.0840725082503727,0.99293181335649,10,33,137
